experiment,model,language,condition,n,ties,tie_rate,boundaries,boundary_rate
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_indent,1000,26,0.026,62,0.062
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,1000,30,0.03,75,0.075
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_1,1000,37,0.037,86,0.086
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_2,1000,25,0.025,76,0.076
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_4,1000,42,0.042,84,0.084
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,no_blank_lines,1000,30,0.03,62,0.062
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,no_indent,1000,20,0.02,61,0.061
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,baseline,1000,24,0.024,63,0.063
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,gaussian_sigma_1,1000,31,0.031,62,0.062
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,gaussian_sigma_2,1000,24,0.024,81,0.081
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,gaussian_sigma_4,1000,32,0.032,78,0.078
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,no_blank_lines,1000,35,0.035,64,0.064
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,no_indent,1000,28,0.028,61,0.061
