model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c,baseline_valid_rate,baseline_valid_accuracy,baseline_effective_accuracy,baseline_swap_error,experiment,effective_delta,coverage_component,valid_accuracy_component,decomposition_residual,swap_error_delta,dominant_component
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,1000,649,497,0.649,0.765793528505393,0.497,0.351,0.0,0.4660816352651897,0.5279413252857236,0.73170567150224,0.7967534135307709,0.5820643854767024,4.054631959622836e-60,0.68,0.025,0.5,0.75,0.627,0.7687400318979266,0.482,0.373,grid,0.015000000000000013,0.0169122807017544,-0.0019122807017543464,-3.968179951296946e-17,-0.02200000000000002,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,1000,616,469,0.616,0.7613636363636364,0.469,0.384,0.0,0.438247507417386,0.4999897516087183,0.7261486144701564,0.7933390632541358,0.5731391922893025,4.5018734377956886e-55,0.674,0.021,0.5625,0.75,0.627,0.7687400318979266,0.482,0.373,grid,-0.013000000000000012,-0.0084561403508772,-0.0045438596491228,-1.214306433183765e-17,0.01100000000000001,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,1000,641,483,0.641,0.7535101404056163,0.483,0.359,0.0,0.4521524697495965,0.5139776400389123,0.7187023328827633,0.7852975194132881,0.5716299245544185,6.92863470561498e-57,0.675,0.02,0.53125,0.75,0.627,0.7687400318979266,0.482,0.373,grid,0.0010000000000000009,0.010762360446570982,-0.009762360446570938,-4.336808689942018e-17,-0.014000000000000012,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,1000,703,525,0.703,0.7467994310099573,0.525,0.297,0.0,0.4940124704612363,0.555796191614486,0.7133732151007837,0.7775430938816301,0.557258246640249,1.3478956491517326e-58,0.679,0.022,0.375,0.6875,0.627,0.7687400318979266,0.482,0.373,grid,0.04300000000000004,0.05842424242424239,-0.015424242424242446,9.194034422677078e-17,-0.07600000000000001,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,1000,472,303,0.472,0.6419491525423728,0.303,0.528,0.0,0.2753154243219398,0.3321923185213688,0.5977115380375219,0.6838948615647743,0.3235057166792991,5.832734597446816e-13,0.587,0.023,0.8125,0.625,0.514,0.6439688715953308,0.331,0.486,grid,-0.028000000000000025,-0.027046692607003917,-0.0009533073929961508,4.2500725161431774e-17,0.04200000000000004,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,1000,494,320,0.494,0.6477732793522267,0.32,0.506,0.0,0.2918240089814415,0.3495536240733583,0.6046585270428216,0.6886075266640158,0.3576957534292653,2.3445757707585203e-16,0.589,0.028,0.75,0.625,0.514,0.6439688715953308,0.331,0.486,grid,-0.01100000000000001,-0.012879377431906628,0.0018793774319065966,2.1250362580715887e-17,0.020000000000000018,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,1000,476,299,0.476,0.6281512605042017,0.299,0.524,0.0,0.2714376344223035,0.3281007224888896,0.5838702864495724,0.6703803577107703,0.3072334177296664,7.291178016040387e-12,0.613,0.024,0.75,0.6875,0.514,0.6439688715953308,0.331,0.486,grid,-0.03200000000000003,-0.02447081712062259,-0.007529182879377458,1.9949319973733282e-17,0.038000000000000034,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,1000,597,384,0.597,0.6432160804020101,0.384,0.403,0.0,0.3543541414403219,0.4145336665283268,0.603985041214554,0.6806158256025119,0.3399942523273617,1.277022455653963e-17,0.6,0.021,0.5625,0.65625,0.514,0.6439688715953308,0.331,0.486,grid,0.05299999999999999,0.05344941634241243,-0.0004494163424124717,3.1929753979698106e-17,-0.08299999999999996,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,1000,461,288,0.461,0.6247288503253796,0.288,0.5389999999999999,0.0,0.2607870341550728,0.3168355114428025,0.579669670607377,0.667726506772661,0.3032813173476715,2.904341376109275e-11,0.593,0.017,0.8125,0.6875,0.514,0.6439688715953308,0.331,0.486,grid,-0.04300000000000004,-0.034130350194552524,-0.008869649805447489,-2.6020852139652106e-17,0.052999999999999936,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,1000,500,327,0.5,0.654,0.327,0.5,0.0,0.2986345103891364,0.3566895480468656,0.6112729349259212,0.6943787682119209,0.3761121192952401,3.0130118684524378e-18,0.595,0.033,0.75,0.625,0.514,0.6439688715953308,0.331,0.486,grid,-0.0040000000000000036,-0.009015564202334639,0.005015564202334621,1.3877787807814457e-17,0.014000000000000012,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap60__lnon,1000,460,284,0.46,0.6173913043478261,0.284,0.54,0.0,0.2569190250903582,0.3127341345754016,0.5721779934885949,0.6606601841822572,0.2806541881718253,8.980856145263724e-10,0.585,0.028,0.875,0.6875,0.514,0.6439688715953308,0.331,0.486,grid,-0.04700000000000004,-0.034774319066147856,-0.012225680933852167,-1.9081958235744878e-17,0.05400000000000005,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap80__lnon,1000,589,377,0.589,0.6400679117147708,0.377,0.411,0.0,0.347487093401629,0.4074542891858176,0.6005127632370502,0.6778078527472389,0.3343730049759951,7.493440289776954e-17,0.59,0.025,0.5625,0.625,0.514,0.6439688715953308,0.331,0.486,grid,0.045999999999999985,0.04829766536964978,-0.0022976653696498046,1.0408340855860843e-17,-0.07500000000000001,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap60__lnon,1000,523,332,0.523,0.6347992351816444,0.332,0.477,0.0,0.3035036348923906,0.3617821559587559,0.5926903716122556,0.674942324409088,0.3187619811725043,8.13766423894225e-14,0.593,0.018,0.6875,0.6875,0.514,0.6439688715953308,0.331,0.486,grid,0.0010000000000000009,0.005795719844357982,-0.0047957198443579875,6.071532165918825e-18,-0.009000000000000008,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap60__lnon,1000,528,323,0.528,0.6117424242424242,0.323,0.472,0.0,0.2947418927752481,0.3526127797286384,0.5695082944111866,0.6523623364750427,0.2812235836320914,4.705622556437053e-11,0.6,0.021,0.6875,0.6875,0.514,0.6439688715953308,0.331,0.486,grid,-0.008000000000000007,0.009015564202334639,-0.017015564202334677,3.122502256758253e-17,-0.014000000000000012,valid-only_accuracy
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap80__lnon,1000,635,411,0.635,0.647244094488189,0.411,0.365,0.0,0.3809022198018245,0.4417789432086042,0.6092951687472238,0.6834222142873766,0.3537806203480247,3.6980636820878007e-20,0.611,0.033,0.4375,0.625,0.514,0.6439688715953308,0.331,0.486,grid,0.07999999999999996,0.07792023346303502,0.002079766536964956,-1.431146867680866e-17,-0.121,valid_coverage/consistency
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap60__lnon,1000,412,322,0.412,0.7815533980582524,0.322,0.5880000000000001,0.0,0.2937691138167236,0.351593212204134,0.7391540671439621,0.8187508629174621,0.5699265413634144,7.392726458686473e-37,0.653,0.026,1.0,0.6875,0.43,0.7604651162790698,0.327,0.5700000000000001,grid,-0.0050000000000000044,-0.013688372093023269,0.00868837209302325,1.3877787807814457e-17,0.018000000000000016,valid_coverage/consistency
