rq0_id,language,condition,ssim_vs_baseline
dorn_cuda_079,cuda,gaussian_sigma_2,0.7327542036558237
dorn_cuda_079,cuda,gaussian_sigma_4,0.6247298043708455
dorn_cuda_080,cuda,gaussian_sigma_1,0.9629632723735787
dorn_cuda_080,cuda,gaussian_sigma_2,0.9040440792622993
dorn_cuda_080,cuda,gaussian_sigma_4,0.8635169889060998
dorn_cuda_081,cuda,gaussian_sigma_1,0.9085336800631199
dorn_cuda_081,cuda,gaussian_sigma_2,0.7623042504626291
dorn_cuda_081,cuda,gaussian_sigma_4,0.6721489983395749
dorn_cuda_082,cuda,gaussian_sigma_1,0.9138700647805879
dorn_cuda_082,cuda,gaussian_sigma_2,0.7757291572296068
dorn_cuda_082,cuda,gaussian_sigma_4,0.6833688422096506
dorn_cuda_083,cuda,gaussian_sigma_1,0.9107536089863063
dorn_cuda_083,cuda,gaussian_sigma_2,0.7434518095570062
dorn_cuda_083,cuda,gaussian_sigma_4,0.6491546151620181
dorn_cuda_084,cuda,gaussian_sigma_1,0.8894126832722195
dorn_cuda_084,cuda,gaussian_sigma_2,0.7089172438643664
dorn_cuda_084,cuda,gaussian_sigma_4,0.5929786570611594
dorn_cuda_085,cuda,gaussian_sigma_1,0.9254934374502745
dorn_cuda_085,cuda,gaussian_sigma_2,0.8072798945799314
dorn_cuda_085,cuda,gaussian_sigma_4,0.7341921559193235
dorn_cuda_086,cuda,gaussian_sigma_1,0.9154642647897474
dorn_cuda_086,cuda,gaussian_sigma_2,0.7778406237214209
dorn_cuda_086,cuda,gaussian_sigma_4,0.6930042105519026
dorn_cuda_087,cuda,gaussian_sigma_1,0.9169264595228098
dorn_cuda_087,cuda,gaussian_sigma_2,0.7797072706086068
dorn_cuda_087,cuda,gaussian_sigma_4,0.6956646767063593
dorn_cuda_088,cuda,gaussian_sigma_1,0.9510125420660342
dorn_cuda_088,cuda,gaussian_sigma_2,0.8687954426161811
dorn_cuda_088,cuda,gaussian_sigma_4,0.8231047226495605
dorn_cuda_089,cuda,gaussian_sigma_1,0.8826648232594739
dorn_cuda_089,cuda,gaussian_sigma_2,0.6918561599500185
dorn_cuda_089,cuda,gaussian_sigma_4,0.5747374071652872
dorn_cuda_090,cuda,gaussian_sigma_1,0.9335824743078341
dorn_cuda_090,cuda,gaussian_sigma_2,0.8278217166891083
dorn_cuda_090,cuda,gaussian_sigma_4,0.7617266001206034
dorn_cuda_091,cuda,gaussian_sigma_1,0.9264506172322083
dorn_cuda_091,cuda,gaussian_sigma_2,0.8079372752951297
dorn_cuda_091,cuda,gaussian_sigma_4,0.7357394559654038
dorn_cuda_092,cuda,gaussian_sigma_1,0.910415611367609
dorn_cuda_092,cuda,gaussian_sigma_2,0.762713982568456
dorn_cuda_092,cuda,gaussian_sigma_4,0.6654531824637994
dorn_cuda_093,cuda,gaussian_sigma_1,0.889812942541177
dorn_cuda_093,cuda,gaussian_sigma_2,0.7108098750676675
dorn_cuda_093,cuda,gaussian_sigma_4,0.5945168361093994
