model,language,score_stratum,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
OpenGVLab/InternVL3-8B,python,high,visual_only_trash,beautiful_trash,ugly_trash,33,24,9,20,0,0.7272727272727273,0.8333333333333334,0.6414692935030095,0.9332132367136705,0.6060606060606061,0.2727272727272727,0.1506744088542064,0.44217559002872625,0.001543879508972168,32,27,0.84375,0.9375,0.5625,0.001543879508972168
OpenGVLab/InternVL3-8B,python,low,semantic_and_visual_aligned,golden,beautiful_trash,34,34,0,34,0,1.0,1.0,0.8984854458466761,0.9999999999999999,1.0,0.0,0.0,0.10151455415332376,1.1641532182693481e-10,34,34,1.0,2.46875,0.90625,6.984919309616089e-10
OpenGVLab/InternVL3-8B,python,low,semantic_and_visual_aligned,golden,ugly_trash,34,34,0,34,0,1.0,1.0,0.8984854458466761,0.9999999999999999,1.0,0.0,0.0,0.10151455415332376,1.1641532182693481e-10,34,34,1.0,3.53125,0.5,6.984919309616089e-10
OpenGVLab/InternVL3-8B,python,low,semantic_only_under_ugly,ugly_gold,ugly_trash,34,33,1,33,0,0.9705882352941176,1.0,0.895730002457548,1.0,0.9705882352941176,0.029411764705882353,0.0052109062762689395,0.1491557329268593,2.3283064365386963e-10,34,34,1.0,3.09375,0.84375,9.313225746154785e-10
OpenGVLab/InternVL3-8B,python,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,34,33,1,33,0,0.9705882352941176,1.0,0.895730002457548,1.0,0.9705882352941176,0.029411764705882353,0.0052109062762689395,0.1491557329268593,2.3283064365386963e-10,34,34,1.0,1.71875,0.8125,9.313225746154785e-10
OpenGVLab/InternVL3-8B,python,low,visual_only_gold,golden,ugly_gold,34,25,9,24,0,0.7352941176470589,0.96,0.8045593626380625,0.9929037664980127,0.7058823529411765,0.2647058823529412,0.14601190677211745,0.43117141282944665,1.5497207641601562e-06,34,31,0.9117647058823529,0.5,0.28125,1.5497207641601562e-06
OpenGVLab/InternVL3-8B,python,low,visual_only_trash,beautiful_trash,ugly_trash,34,27,7,26,0,0.7941176470588235,0.9629629629629629,0.8171653406642414,0.9934318540192149,0.7647058823529411,0.20588235294117646,0.10349526899031913,0.36798388051163594,4.172325134277344e-07,33,32,0.9696969696969697,0.875,0.59375,8.344650268554688e-07
OpenGVLab/InternVL3-8B,python,mid,semantic_and_visual_aligned,golden,beautiful_trash,33,31,2,31,0,0.9393939393939394,1.0,0.889744604539564,1.0,0.9393939393939394,0.06060606060606061,0.016780883087191875,0.1960624480864781,9.313225746154785e-10,33,33,1.0,2.125,0.5625,3.725290298461914e-09
OpenGVLab/InternVL3-8B,python,mid,semantic_and_visual_aligned,golden,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,3.25,0.5,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,python,mid,semantic_only_under_ugly,ugly_gold,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,3.125,0.4375,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,python,mid,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,33,30,3,30,0,0.9090909090909091,1.0,0.8864866068260312,0.9999999999999999,0.9090909090909091,0.09090909090909091,0.03140394152458165,0.2357260564646973,1.862645149230957e-09,33,33,1.0,1.5625,0.625,5.587935447692871e-09
OpenGVLab/InternVL3-8B,python,mid,visual_only_gold,golden,ugly_gold,33,20,13,18,0,0.6060606060606061,0.9,0.6989663547715128,0.9721335187862319,0.5454545454545454,0.3939393939393939,0.2468310743447709,0.5631655918005977,0.0004024505615234375,32,28,0.875,0.5625,0.375,0.0004024505615234375
