model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,1000,453,229,0.453,0.5055187637969095,0.229,0.5469999999999999,0.0,0.20402312975052514,0.25605097334864574,0.4596255496704068,0.5513191662774565,0.013537909845185044,0.7738403642671794,0.515,0.028,0.875,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,1000,571,452,0.571,0.7915936952714536,0.452,0.42900000000000005,0.0,0.42139559401833404,0.4829717747962793,0.7563846955189538,0.8229054633418221,0.6493942102502602,1.0977101236749493e-69,0.686,0.018,0.625,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,1000,571,442,0.571,0.7740805604203153,0.442,0.42900000000000005,0.0,0.411499555136933,0.4729443488473914,0.7380142909153359,0.8064836662120599,0.6263544455409089,1.519658734864021e-63,0.685,0.021,0.625,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,1000,611,464,0.611,0.7594108019639935,0.464,0.389,0.0,0.43328733184788387,0.49498819476307615,0.7239646990692986,0.7916153670635654,0.5681046943492357,1.6519551263351144e-53,0.674,0.025,0.5625,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,1000,648,496,0.648,0.7654320987654321,0.496,0.352,0.0,0.46508589340292905,0.5269447206649553,0.7313017019215118,0.7964339849468285,0.5856948544067407,6.210292404189324e-61,0.683,0.021,0.5,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,1000,547,441,0.547,0.8062157221206582,0.441,0.45299999999999996,0.0,0.4105106415843448,0.47194091591695075,0.7710031921064029,0.8371572770006379,0.6507167601713405,3.554552524012031e-67,0.696,0.022,0.6875,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,1000,530,409,0.53,0.7716981132075472,0.409,0.47,0.0,0.37893242495569907,0.4397640450886719,0.7340835970373673,0.8054024156005778,0.6186958315517345,2.648161275783429e-57,0.684,0.021,0.75,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,1000,564,443,0.564,0.7854609929078015,0.443,0.43600000000000005,0.0,0.41248859445810543,0.4739476560092479,0.7497109652454044,0.8173487219228008,0.621048786772027,1.8498773235646524e-61,0.68,0.022,0.6875,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,1000,649,497,0.649,0.765793528505393,0.497,0.351,0.0,0.4660816352651897,0.5279413252857236,0.73170567150224,0.7967534135307709,0.5820643854767024,4.0546319596228355e-60,0.68,0.025,0.5,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,1000,616,469,0.616,0.7613636363636364,0.469,0.384,0.0,0.438247507417386,0.49998975160871834,0.7261486144701564,0.7933390632541358,0.5731391922893025,4.501873437795689e-55,0.674,0.021,0.5625,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,1000,627,482,0.627,0.7687400318979266,0.482,0.373,0.0,0.4511584546689284,0.5129793086365515,0.7341604606576279,0.8000466610968516,0.6009518508100679,8.173083275202829e-63,0.68,0.025,0.5,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,1000,641,483,0.641,0.7535101404056163,0.483,0.359,0.0,0.45215246974959655,0.5139776400389123,0.7187023328827633,0.7852975194132881,0.5716299245544185,6.92863470561498e-57,0.675,0.02,0.53125,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,1000,703,525,0.703,0.7467994310099573,0.525,0.29700000000000004,0.0,0.49401247046123636,0.555796191614486,0.7133732151007837,0.7775430938816301,0.557258246640249,1.3478956491517326e-58,0.679,0.022,0.375,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,1000,472,303,0.472,0.6419491525423728,0.303,0.528,0.0,0.27531542432193984,0.3321923185213688,0.5977115380375219,0.6838948615647743,0.32350571667929917,5.832734597446815e-13,0.587,0.023,0.8125,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,1000,494,320,0.494,0.6477732793522267,0.32,0.506,0.0,0.29182400898144156,0.3495536240733583,0.6046585270428216,0.6886075266640158,0.35769575342926535,2.3445757707585203e-16,0.589,0.028,0.75,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,1000,476,299,0.476,0.6281512605042017,0.299,0.524,0.0,0.27143763442230356,0.3281007224888896,0.5838702864495724,0.6703803577107703,0.3072334177296664,7.291178016040387e-12,0.613,0.024,0.75,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,1000,597,384,0.597,0.6432160804020101,0.384,0.403,0.0,0.35435414144032196,0.4145336665283268,0.603985041214554,0.6806158256025119,0.33999425232736175,1.277022455653963e-17,0.6,0.021,0.5625,0.65625
