model,representation,language,condition,rq0_id,baseline_cosine_distance
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_082,0.003423035144805908
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_083,0.016202807426452637
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_084,0.003163278102874756
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_085,0.00839388370513916
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_086,0.003213644027709961
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_087,0.0033228397369384766
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_088,0.017642199993133545
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_089,0.0020447969436645508
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_090,0.0025871992111206055
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_091,0.0052073001861572266
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_092,0.005583286285400391
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_093,0.0027478933334350586
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_094,0.002718031406402588
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_095,0.002623438835144043
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_096,0.0
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_097,0.00497591495513916
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_098,0.005324304103851318
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_099,0.0035461783409118652
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_100,0.0036221742630004883
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_101,0.00327223539352417
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_102,0.00205230712890625
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_103,0.004983484745025635
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_104,0.0024500489234924316
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_105,0.008247673511505127
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_106,0.0018671154975891113
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_107,0.026438117027282715
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_108,0.008465349674224854
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_109,0.014191746711730957
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_110,0.002882242202758789
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_111,0.0024378299713134766
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,dorn_cuda_112,0.002219974994659424
