snippet_id,dataset_name,ocr_engine,parse_status,char_error_rate,original_num_lines,ocr_num_lines,token_precision,token_recall,token_f1,indent_mean_abs_delta,runtime_sec,mean_confidence,line_count_abs_diff
dorn_cuda_089,Dorn,easyocr,ok,0.2924944812362031,31,143,0.6941176470588235,0.7087087087087087,0.7013372956909361,10.76923076923077,6.594187021255493,0.9041793474656667,112
dorn_cuda_009,Dorn,easyocr,ok,0.42340425531914894,31,85,0.696078431372549,0.6666666666666666,0.6810551558752996,9.0,2.727731466293335,0.8680722945239039,54
dorn_cuda_090,Dorn,easyocr,ok,0.35125184094256257,51,191,0.7862595419847328,0.7725,0.7793190416141235,2.380952380952381,5.68915581703186,0.8908112196235007,140
dorn_cuda_091,Dorn,easyocr,ok,0.16370106761565836,11,24,0.7272727272727273,0.7547169811320755,0.7407407407407407,1.5,0.8151700496673584,0.9157648575276788,13
dorn_cuda_092,Dorn,easyocr,ok,0.39371980676328505,11,61,0.680327868852459,0.6693548387096774,0.6747967479674796,3.7777777777777777,1.1522257328033447,0.7580876942125708,50
dorn_cuda_093,Dorn,easyocr,ok,0.3024054982817869,31,159,0.7430167597765364,0.7388888888888889,0.7409470752089137,6.142857142857143,5.614195585250855,0.8653189904677274,128
dorn_cuda_094,Dorn,easyocr,ok,0.25676567656765675,51,157,0.771255060728745,0.79375,0.7823408624229979,2.4390243902439024,6.16696047782898,0.8867023996354378,106
dorn_cuda_095,Dorn,easyocr,ok,0.3368678629690049,51,142,0.6691176470588235,0.6086956521739131,0.6374781085814362,4.285714285714286,4.475473165512085,0.8907368552492907,91
dorn_cuda_096,Dorn,easyocr,ok,0.4230769230769231,11,16,0.0,0.0,0.0,3.6,0.3553571701049804,0.9844528480408326,5
dorn_cuda_097,Dorn,easyocr,ok,0.33170731707317075,11,50,0.7040816326530612,0.6106194690265486,0.6540284360189573,8.0,1.2901217937469482,0.8509583755253773,39
dorn_cuda_098,Dorn,easyocr,ok,0.3856589147286822,11,80,0.7290322580645161,0.7018633540372671,0.7151898734177216,3.8,1.625476360321045,0.7717764444590919,69
