model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
ministral,overall,all,8,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,896,499,0.5569196428571429,0.5569196428571429,0.5569196428571429,896,0.5569196428571429,0.5569196428571429,0.5569196428571429,4.75,5.0625,5.4375
ministral,overall,all,9,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,897,491,0.5473801560758083,0.5473801560758083,0.5473801560758083,897,0.5473801560758083,0.5473801560758083,0.5473801560758083,5.4375,5.875,6.25
ministral,overall,all,10,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,896,571,0.6372767857142857,0.6372767857142857,0.6372767857142857,896,0.6372767857142857,0.6372767857142857,0.6372767857142857,6.25,6.875,8.6875
ministral,language,cuda,1,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,342,12,14,10,0.7142857142857143,0.029239766081871343,0.4619883040935672,330,0.7142857142857143,0.030303030303030304,0.47878787878787876,0.0,0.25,0.5625
ministral,language,cuda,2,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,300,0,42,17,0.40476190476190477,0.056666666666666664,0.5433333333333333,300,0.40476190476190477,0.056666666666666664,0.5433333333333333,0.625,0.9375,1.1875
ministral,language,cuda,3,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,317,0,83,42,0.5060240963855421,0.13249211356466878,0.555205047318612,317,0.5060240963855421,0.13249211356466878,0.555205047318612,1.1875,1.5,1.75
ministral,language,cuda,4,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,303,0,141,81,0.574468085106383,0.26732673267326734,0.5742574257425742,303,0.574468085106383,0.26732673267326734,0.5742574257425742,1.8125,2.125,2.5
ministral,language,cuda,5,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,300,0,210,108,0.5142857142857142,0.36,0.53,300,0.5142857142857142,0.36,0.53,2.5,2.875,3.1875
ministral,language,cuda,6,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,285,0,271,171,0.6309963099630996,0.6,0.6350877192982456,285,0.6309963099630996,0.6,0.6350877192982456,3.25,3.625,4.0
ministral,language,cuda,7,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,257,0,257,150,0.5836575875486382,0.5836575875486382,0.5836575875486382,257,0.5836575875486382,0.5836575875486382,0.5836575875486382,4.0,4.375,4.6875
ministral,language,cuda,8,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,281,0,281,165,0.5871886120996441,0.5871886120996441,0.5871886120996441,281,0.5871886120996441,0.5871886120996441,0.5871886120996441,4.75,5.0625,5.4375
ministral,language,cuda,9,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,272,0,272,141,0.5183823529411765,0.5183823529411765,0.5183823529411765,272,0.5183823529411765,0.5183823529411765,0.5183823529411765,5.5,5.875,6.25
ministral,language,cuda,10,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,343,0,343,227,0.6618075801749271,0.6618075801749271,0.6618075801749271,343,0.6618075801749271,0.6618075801749271,0.6618075801749271,6.28125,7.0,8.6875
ministral,language,java,1,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,264,12,12,8,0.6666666666666666,0.030303030303030304,0.4583333333333333,252,0.6666666666666666,0.031746031746031744,0.4801587301587302,0.0,0.3125,0.5625
ministral,language,java,2,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,295,0,56,26,0.4642857142857143,0.08813559322033898,0.5423728813559322,295,0.4642857142857143,0.08813559322033898,0.5423728813559322,0.625,0.9375,1.1875
ministral,language,java,3,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,281,0,111,63,0.5675675675675675,0.22419928825622776,0.5765124555160143,281,0.5675675675675675,0.22419928825622776,0.5765124555160143,1.25,1.5,1.8125
ministral,language,java,4,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,332,0,210,114,0.5428571428571428,0.3433734939759036,0.5481927710843374,332,0.5428571428571428,0.3433734939759036,0.5481927710843374,1.8125,2.15625,2.5
ministral,language,java,5,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,308,0,265,129,0.4867924528301887,0.41883116883116883,0.5227272727272727,308,0.4867924528301887,0.41883116883116883,0.5227272727272727,2.5625,2.875,3.25
ministral,language,java,6,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,334,0,324,179,0.5524691358024691,0.5359281437125748,0.5538922155688623,334,0.5524691358024691,0.5359281437125748,0.5538922155688623,3.25,3.6875,4.0
ministral,language,java,7,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,337,0,337,176,0.5222551928783383,0.5222551928783383,0.5222551928783383,337,0.5222551928783383,0.5222551928783383,0.5222551928783383,4.0625,4.4375,4.75
ministral,language,java,8,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,305,0,305,175,0.5737704918032787,0.5737704918032787,0.5737704918032787,305,0.5737704918032787,0.5737704918032787,0.5737704918032787,4.75,5.0625,5.4375
ministral,language,java,9,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,303,0,303,170,0.5610561056105611,0.5610561056105611,0.5610561056105611,303,0.5610561056105611,0.5610561056105611,0.5610561056105611,5.5,5.875,6.25
ministral,language,java,10,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,241,0,241,128,0.5311203319502075,0.5311203319502075,0.5311203319502075,241,0.5311203319502075,0.5311203319502075,0.5311203319502075,6.28125,6.75,7.8125
