family,model,case,difficulty,pairs,swap_errors,strict_swap_error,wilson_ci_low,wilson_ci_high,score_gap_min,score_gap_max,score_gap_mean
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt256,hard,100,25,0.25,0.17545211362287672,0.34304463548061603,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt256,medium,100,26,0.26,0.18404698464748132,0.3537098944918718,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt256,easy,100,20,0.2,0.1333669333310325,0.2888291655931589,1.0089247362039495,3.7839876988349377,1.8527002978344467
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt64,hard,100,25,0.25,0.17545211362287672,0.34304463548061603,0.2008546415820348,0.4954191814583285,0.3429874413159714
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt64,medium,100,26,0.26,0.18404698464748132,0.3537098944918718,0.5003932256927864,0.9908174376799472,0.7252026422143699
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt64,easy,100,20,0.2,0.1333669333310325,0.2888291655931589,1.0089247362039495,3.7839876988349377,1.8527002978344467
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,source_text,hard,1000,378,0.378,0.34846769603702693,0.4084660330334485,0.2002153589593755,0.4997328422963538,0.3543098355732557
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,source_text,medium,1000,421,0.421,0.39075893140651674,0.4518456964342009,0.5003932256927864,0.999276608089393,0.7364825288255585
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,source_text,easy,1000,405,0.405,0.37499439177359234,0.43573269233866313,1.0000637818086873,4.279799206357435,1.8484327165172358
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr,hard,1000,597,0.597,0.5662837646847674,0.6269738441690349,0.2002153589593755,0.4997328422963538,0.3543098355732557
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr,medium,1000,624,0.624,0.5935575899582508,0.6534933739373314,0.5003932256927864,0.999276608089393,0.7364825288255585
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr,easy,1000,640,0.64,0.609766237395941,0.6691622702281036,1.0000637818086873,4.279799206357435,1.8484327165172358
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_rapidocr,hard,1000,477,0.477,0.44619023214492903,0.5079857987454065,0.2002153589593755,0.4997328422963538,0.3543098355732557
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_rapidocr,medium,1000,499,0.499,0.468073488750724,0.529934164766247,0.5003932256927864,0.999276608089393,0.7364825288255585
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_rapidocr,easy,1000,494,0.494,0.4630947794652077,0.5249511416366189,1.0000637818086873,4.279799206357435,1.8484327165172358
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr_preprocessed,hard,1000,595,0.595,0.5642673076613368,0.6250056082264076,0.2002153589593755,0.4997328422963538,0.3543098355732557
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr_preprocessed,medium,1000,637,0.637,0.6067244308198836,0.6662270373550743,0.5003932256927864,0.999276608089393,0.7364825288255585
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr_preprocessed,easy,1000,661,0.661,0.6310943749213436,0.6896734088463077,1.0000637818086873,4.279799206357435,1.8484327165172358
